Label,releaseYear,releaseMonth,sommeCopiesSold
Casual,2008,Nov,20271
Casual,2008,Oct,1362786
Casual,2008,Sep,2728
Casual,2008,NULL,5424726
Casual,2009,Apr,42810
Casual,2009,Aug,58663
Casual,2009,Dec,589104
Casual,2009,Feb,47937
Casual,2009,Jan,2223
Casual,2009,Jul,61959
Casual,2009,Mar,431127
Casual,2009,May,25546
Casual,2009,Nov,19513
Casual,2009,Oct,44759
Casual,2009,Sep,156640
Casual,2009,NULL,1480281
Casual,2010,Apr,576359
Casual,2010,Aug,5805
Casual,2010,Dec,134299
Casual,2010,Feb,105386
Casual,2010,Jan,154785
Casual,2010,Jul,107568
Casual,2010,Jun,3378387
Casual,2010,May,53040
Casual,2010,Nov,215947
Casual,2010,Oct,91432
Casual,2010,Sep,258421
Casual,2010,NULL,5081429
Casual,2011,Apr,506776
Casual,2011,Aug,276701
Casual,2011,Feb,139084
Casual,2011,Jan,31618
Casual,2011,Jul,478395
Casual,2011,Jun,3667835
Casual,2011,Mar,68320
Casual,2011,May,371217
Casual,2011,Nov,5828
Casual,2011,Oct,69434
Casual,2011,Sep,11034
Casual,2011,NULL,5626242
Casual,2012,Apr,265503
Casual,2012,Aug,1624509
Casual,2012,Dec,337299
Casual,2012,Feb,209560
Casual,2012,Jan,29455
Casual,2012,Jul,19565
Casual,2012,Jun,280799
Casual,2012,Mar,79744
Casual,2012,May,453073
Casual,2012,Nov,1150235
Casual,2012,Oct,60556
Casual,2012,Sep,7700075
Casual,2012,NULL,12210373
Casual,2013,Apr,450786
Casual,2013,Aug,2677609
Casual,2013,Dec,757463
Casual,2013,Feb,802081
Casual,2013,Jan,197657
Casual,2013,Jul,57200
Casual,2013,Jun,138970
Casual,2013,Mar,194553
Casual,2013,May,246063
Casual,2013,Nov,1096116
Casual,2013,Oct,2370664
Casual,2013,Sep,647273
Casual,2013,NULL,9636435
Casual,2014,Apr,4314859
Casual,2014,Aug,2090233
Casual,2014,Dec,3176664
Casual,2014,Feb,531694
Casual,2014,Jan,478570
Casual,2014,Jul,3788576
Casual,2014,Jun,2307728
Casual,2014,Mar,1618058
Casual,2014,May,8987821
Casual,2014,Nov,4880982
Casual,2014,Oct,5275473
Casual,2014,Sep,3044130
Casual,2014,NULL,40494788
Casual,2015,Apr,2846812
Casual,2015,Aug,2371806
Casual,2015,Dec,3026652
Casual,2015,Feb,1470353
Casual,2015,Jan,1986266
Casual,2015,Jul,13158886
Casual,2015,Jun,7156874
Casual,2015,Mar,1969932
Casual,2015,May,7617148
Casual,2015,Nov,3096194
Casual,2015,Oct,3942757
Casual,2015,Sep,11198391
Casual,2015,NULL,59842071
Casual,2016,Apr,6591187
Casual,2016,Aug,6173932
Casual,2016,Dec,3538134
Casual,2016,Feb,11106433
Casual,2016,Jan,5712416
Casual,2016,Jul,16599616
Casual,2016,Jun,2615789
Casual,2016,Mar,5567981
Casual,2016,May,4602454
Casual,2016,Nov,7952388
Casual,2016,Oct,5062723
Casual,2016,Sep,2744853
Casual,2016,NULL,78267906
Casual,2017,Apr,1523185
Casual,2017,Aug,3466853
Casual,2017,Dec,6529515
Casual,2017,Feb,20183295
Casual,2017,Jan,4810631
Casual,2017,Jul,41752225
Casual,2017,Jun,1758561
Casual,2017,Mar,2521314
Casual,2017,May,4253417
Casual,2017,Nov,4637337
Casual,2017,Oct,8028350
Casual,2017,Sep,9943281
Casual,2017,NULL,109407964
Casual,2018,Apr,2281333
Casual,2018,Aug,8742008
Casual,2018,Dec,2175489
Casual,2018,Feb,3125615
Casual,2018,Jan,4703253
